Target,Mode,Run,Accuracy_All,Accuracy_Monomer,TN_pct_All,FP_pct_All,FN_pct_All,TP_pct_All,TN_pct_Monomer,FP_pct_Monomer,FN_pct_Monomer,TP_pct_Monomer,N_test_All,N_test_Monomer,Std_All,Std_Monomer,TN_pct_All_std,FP_pct_All_std,FN_pct_All_std,TP_pct_All_std,TN_pct_Monomer_std,FP_pct_Monomer_std,FN_pct_Monomer_std,TP_pct_Monomer_std
Mutagenic,Original,1,67.58241758241759,68.75,,,,,,,,,182.0,16.0,,,,,,,,,,
Mutagenic,Original,2,67.03296703296702,84.61538461538461,,,,,,,,,182.0,13.0,,,,,,,,,,
Mutagenic,Original,3,67.58241758241759,46.666666666666664,,,,,,,,,182.0,15.0,,,,,,,,,,
Mutagenic,Original,4,64.83516483516483,64.28571428571429,,,,,,,,,182.0,14.0,,,,,,,,,,
Mutagenic,Original,5,62.637362637362635,66.66666666666666,,,,,,,,,182.0,9.0,,,,,,,,,,
Mutagenic,Original,6,60.98901098901099,58.333333333333336,,,,,,,,,182.0,12.0,,,,,,,,,,
Mutagenic,Original,7,67.58241758241759,81.81818181818183,,,,,,,,,182.0,11.0,,,,,,,,,,
Mutagenic,Original,8,64.83516483516483,66.66666666666666,,,,,,,,,182.0,15.0,,,,,,,,,,
Mutagenic,Original,9,64.28571428571429,50.0,,,,,,,,,182.0,14.0,,,,,,,,,,
Mutagenic,Original,10,65.93406593406593,58.333333333333336,,,,,,,,,182.0,12.0,,,,,,,,,,
Mutagenic,Original,11,62.08791208791209,42.857142857142854,,,,,,,,,182.0,7.0,,,,,,,,,,
Mutagenic,Original,12,67.03296703296702,85.71428571428571,,,,,,,,,182.0,14.0,,,,,,,,,,
Mutagenic,Original,13,64.28571428571429,36.36363636363637,,,,,,,,,182.0,11.0,,,,,,,,,,
Mutagenic,Original,14,67.03296703296702,50.0,,,,,,,,,182.0,10.0,,,,,,,,,,
Mutagenic,Original,15,65.38461538461539,56.25,,,,,,,,,182.0,16.0,,,,,,,,,,
Mutagenic,Original,16,68.13186813186813,61.111111111111114,,,,,,,,,182.0,18.0,,,,,,,,,,
Mutagenic,Original,17,65.93406593406593,82.35294117647058,,,,,,,,,182.0,17.0,,,,,,,,,,
Mutagenic,Original,18,63.73626373626373,69.23076923076923,,,,,,,,,182.0,13.0,,,,,,,,,,
Mutagenic,Original,19,63.18681318681318,80.0,,,,,,,,,182.0,10.0,,,,,,,,,,
Mutagenic,Original,20,64.28571428571429,71.42857142857143,,,,,,,,,182.0,14.0,,,,,,,,,,
Mutagenic,Original,21,64.28571428571429,76.92307692307693,,,,,,,,,182.0,13.0,,,,,,,,,,
Mutagenic,Original,22,70.87912087912088,60.0,,,,,,,,,182.0,10.0,,,,,,,,,,
Mutagenic,Original,23,65.38461538461539,73.33333333333333,,,,,,,,,182.0,15.0,,,,,,,,,,
Mutagenic,Original,24,65.38461538461539,81.81818181818183,,,,,,,,,182.0,11.0,,,,,,,,,,
Mutagenic,Original,25,66.48351648351648,66.66666666666666,,,,,,,,,182.0,9.0,,,,,,,,,,
Mutagenic,Original,26,63.73626373626373,80.0,,,,,,,,,182.0,10.0,,,,,,,,,,
Mutagenic,Original,27,64.28571428571429,84.61538461538461,,,,,,,,,182.0,13.0,,,,,,,,,,
Mutagenic,Original,28,62.08791208791209,75.0,,,,,,,,,182.0,8.0,,,,,,,,,,
