Target,Mode,Run,Function,N_test_in_function,Correct_in_function,Accuracy_in_function,TN_in_function,FP_in_function,FN_in_function,TP_in_function
Mutagenic,Original,1,Colorant,68,51,75.0,,,,
Mutagenic,Original,1,Filler,33,27,81.81818181818183,,,,
Mutagenic,Original,1,Initiator,8,6,75.0,,,,
Mutagenic,Original,1,Other_Processing_Aids,57,37,64.91228070175438,,,,
Mutagenic,Original,1,Antioxidant,15,8,53.333333333333336,,,,
Mutagenic,Original,1,Catalyst,17,13,76.47058823529412,,,,
Mutagenic,Original,1,Heat_stabilizer,5,3,60.0,,,,
Mutagenic,Original,1,Intermediate,34,25,73.52941176470588,,,,
Mutagenic,Original,1,Light_stabilizer,16,11,68.75,,,,
Mutagenic,Original,1,Monomer,21,15,71.42857142857143,,,,
Mutagenic,Original,1,Plasticizer,20,10,50.0,,,,
Mutagenic,Original,1,Odor_Agent,19,14,73.68421052631578,,,,
Mutagenic,Original,1,Lubricant,31,21,67.74193548387096,,,,
Mutagenic,Original,1,Crosslinking_agent,18,12,66.66666666666666,,,,
Mutagenic,Original,1,Biocide,26,20,76.92307692307693,,,,
Mutagenic,Original,1,Antistatic_agent,5,3,60.0,,,,
Mutagenic,Original,1,Viscosity_modifier,3,1,33.33333333333333,,,,
Mutagenic,Original,1,Flame_retardant,8,5,62.5,,,,
Mutagenic,Original,1,NIAS,1,1,100.0,,,,
Mutagenic,Original,1,Solvent,3,3,100.0,,,,
Mutagenic,Original,1,Stabilizer,1,0,0.0,,,,
Mutagenic,Original,1,Blowing_agent,1,1,100.0,,,,
Mutagenic,Original,2,Antistatic_agent,5,2,40.0,,,,
Mutagenic,Original,2,Biocide,19,13,68.42105263157895,,,,
Mutagenic,Original,2,Catalyst,20,14,70.0,,,,
Mutagenic,Original,2,Colorant,68,47,69.11764705882352,,,,
Mutagenic,Original,2,Crosslinking_agent,19,9,47.368421052631575,,,,
Mutagenic,Original,2,Filler,36,24,66.66666666666666,,,,
Mutagenic,Original,2,Intermediate,37,23,62.16216216216216,,,,
Mutagenic,Original,2,Light_stabilizer,21,11,52.38095238095239,,,,
Mutagenic,Original,2,Lubricant,26,17,65.38461538461539,,,,
Mutagenic,Original,2,Odor_Agent,16,11,68.75,,,,
Mutagenic,Original,2,Other_Processing_Aids,64,40,62.5,,,,
Mutagenic,Original,2,Viscosity_modifier,2,0,0.0,,,,
Mutagenic,Original,2,Monomer,20,16,80.0,,,,
Mutagenic,Original,2,Initiator,11,6,54.54545454545454,,,,
Mutagenic,Original,2,Antioxidant,19,12,63.1578947368421,,,,
Mutagenic,Original,2,Plasticizer,16,9,56.25,,,,
Mutagenic,Original,2,Heat_stabilizer,9,5,55.55555555555556,,,,
Mutagenic,Original,2,Flame_retardant,7,5,71.42857142857143,,,,
Mutagenic,Original,2,Solvent,1,0,0.0,,,,
Mutagenic,Original,2,Unspecified_additive,1,1,100.0,,,,
Mutagenic,Original,2,NIAS,1,1,100.0,,,,
Mutagenic,Original,2,Impurity,1,1,100.0,,,,
Mutagenic,Original,2,Surfactant,1,1,100.0,,,,
Mutagenic,Original,3,Biocide,23,16,69.56521739130434,,,,
Mutagenic,Original,3,Colorant,71,47,66.19718309859155,,,,
Mutagenic,Original,3,Crosslinking_agent,16,11,68.75,,,,
Mutagenic,Original,3,Filler,32,21,65.625,,,,
Mutagenic,Original,3,Light_stabilizer,17,9,52.94117647058824,,,,
Mutagenic,Original,3,Lubricant,26,15,57.692307692307686,,,,
Mutagenic,Original,3,Odor_Agent,13,10,76.92307692307693,,,,
Mutagenic,Original,3,Other_Processing_Aids,59,36,61.016949152542374,,,,
Mutagenic,Original,3,Plasticizer,17,11,64.70588235294117,,,,
Mutagenic,Original,3,Intermediate,39,29,74.35897435897436,,,,
Mutagenic,Original,3,Monomer,20,12,60.0,,,,
Mutagenic,Original,3,Catalyst,12,8,66.66666666666666,,,,
Mutagenic,Original,3,Initiator,7,4,57.14285714285714,,,,
Mutagenic,Original,3,Antioxidant,11,4,36.36363636363637,,,,
Mutagenic,Original,3,Flame_retardant,4,3,75.0,,,,
Mutagenic,Original,3,Viscosity_modifier,1,1,100.0,,,,
Mutagenic,Original,3,Heat_stabilizer,5,2,40.0,,,,
Mutagenic,Original,3,Solvent,1,1,100.0,,,,
Mutagenic,Original,3,Antistatic_agent,1,1,100.0,,,,
Mutagenic,Original,3,Stabilizer,1,0,0.0,,,,
Mutagenic,Original,4,Colorant,64,37,57.8125,,,,
Mutagenic,Original,4,Lubricant,31,22,70.96774193548387,,,,
Mutagenic,Original,4,Monomer,21,15,71.42857142857143,,,,
Mutagenic,Original,4,Other_Processing_Aids,57,35,61.40350877192983,,,,
Mutagenic,Original,4,Plasticizer,18,12,66.66666666666666,,,,
Mutagenic,Original,4,Antioxidant,15,12,80.0,,,,
Mutagenic,Original,4,Antistatic_agent,6,6,100.0,,,,
Mutagenic,Original,4,Catalyst,24,18,75.0,,,,
Mutagenic,Original,4,Filler,37,25,67.56756756756756,,,,
Mutagenic,Original,4,Light_stabilizer,17,11,64.70588235294117,,,,
Mutagenic,Original,4,Odor_Agent,16,13,81.25,,,,
Mutagenic,Original,4,Intermediate,43,30,69.76744186046511,,,,
Mutagenic,Original,4,Crosslinking_agent,36,25,69.44444444444444,,,,
Mutagenic,Original,4,Heat_stabilizer,3,2,66.66666666666666,,,,
Mutagenic,Original,4,Initiator,15,10,66.66666666666666,,,,
Mutagenic,Original,4,Flame_retardant,9,7,77.77777777777779,,,,
Mutagenic,Original,4,Biocide,22,13,59.09090909090909,,,,
Mutagenic,Original,4,Blowing_agent,4,3,75.0,,,,
Mutagenic,Original,4,Viscosity_modifier,3,3,100.0,,,,
Mutagenic,Original,4,Solvent,1,0,0.0,,,,
Mutagenic,Original,4,NIAS,1,1,100.0,,,,
Mutagenic,Original,4,Impurity,1,1,100.0,,,,
Mutagenic,Original,5,Antioxidant,19,13,68.42105263157895,,,,
Mutagenic,Original,5,Catalyst,20,11,55.00000000000001,,,,
Mutagenic,Original,5,Crosslinking_agent,27,15,55.55555555555556,,,,
Mutagenic,Original,5,Initiator,9,4,44.44444444444444,,,,
Mutagenic,Original,5,Intermediate,48,26,54.166666666666664,,,,
Mutagenic,Original,5,Other_Processing_Aids,69,38,55.072463768115945,,,,
Mutagenic,Original,5,Plasticizer,22,10,45.45454545454545,,,,
Mutagenic,Original,5,Viscosity_modifier,6,6,100.0,,,,
Mutagenic,Original,5,Colorant,73,47,64.38356164383562,,,,
Mutagenic,Original,5,Filler,38,25,65.78947368421053,,,,
Mutagenic,Original,5,Monomer,14,9,64.28571428571429,,,,
Mutagenic,Original,5,Heat_stabilizer,11,8,72.72727272727273,,,,
Mutagenic,Original,5,Light_stabilizer,25,15,60.0,,,,
Mutagenic,Original,5,Odor_Agent,13,10,76.92307692307693,,,,
Mutagenic,Original,5,Biocide,18,13,72.22222222222221,,,,
Mutagenic,Original,5,Lubricant,30,20,66.66666666666666,,,,
Mutagenic,Original,5,Solvent,3,2,66.66666666666666,,,,
Mutagenic,Original,5,Flame_retardant,6,4,66.66666666666666,,,,
Mutagenic,Original,5,Antistatic_agent,4,3,75.0,,,,
Mutagenic,Original,5,Blowing_agent,4,2,50.0,,,,
Mutagenic,Original,5,Stabilizer,1,0,0.0,,,,
Mutagenic,Original,6,Colorant,72,48,66.66666666666666,,,,
Mutagenic,Original,6,Crosslinking_agent,21,12,57.14285714285714,,,,
