Target,Mode,Function,Runs_Observed,Total_N_test,Total_Correct,Mean_Accuracy,Std_Accuracy,Pooled_Accuracy,TN_pct_pooled,FP_pct_pooled,FN_pct_pooled,TP_pct_pooled
Mutagenic,Binary (2 vs others),Stabilizer,12,12,12,100.0,0.0,100.0,100.0,0.0,0.0,0.0
Mutagenic,Binary (2 vs others),Surfactant,10,10,10,100.0,0.0,100.0,100.0,0.0,0.0,0.0
Mutagenic,Binary (2 vs others),Impact_modifier,7,7,7,100.0,0.0,100.0,100.0,0.0,0.0,0.0
Mutagenic,Binary (2 vs others),NIAS,21,27,26,98.4126984126984,7.273929674533082,96.29629629629629,96.29629629629629,3.7037037037037037,0.0,0.0
Mutagenic,Binary (2 vs others),Impurity,16,18,17,96.875,12.500000000000002,94.44444444444444,94.44444444444444,5.555555555555555,0.0,0.0
Mutagenic,Binary (2 vs others),Heat_stabilizer,50,310,279,90.34985569985571,12.33669443239632,90.0,89.6774193548387,2.5806451612903225,7.419354838709677,0.3225806451612903
Mutagenic,Binary (2 vs others),Monomer,50,788,698,88.57495717388908,6.819684945564046,88.57868020304568,88.4517766497462,4.441624365482234,6.979695431472082,0.12690355329949238
Mutagenic,Binary (2 vs others),Antioxidant,50,824,709,85.93555909212459,8.880561359313901,86.04368932038835,81.55339805825243,5.218446601941747,8.737864077669903,4.490291262135922
Mutagenic,Binary (2 vs others),Biocide,50,1070,916,85.90768376298612,7.162082965502425,85.60747663551402,82.42990654205607,3.364485981308411,11.02803738317757,3.177570093457944
Mutagenic,Binary (2 vs others),Colorant,50,3391,2896,85.43969347363851,3.1353443046985014,85.40253612503686,81.77528752580359,2.624594514892362,11.972869360070776,3.6272485992332646
Mutagenic,Binary (2 vs others),Initiator,50,492,420,85.48200133200133,11.92094819799322,85.36585365853658,77.03252032520325,3.658536585365854,10.975609756097562,8.333333333333334
Mutagenic,Binary (2 vs others),Odor_Agent,50,744,634,85.0875142573285,8.959171551342974,85.21505376344086,79.70430107526882,0.6720430107526881,14.112903225806452,5.510752688172043
Mutagenic,Binary (2 vs others),Light_stabilizer,50,924,782,84.87885722845677,7.465302857098996,84.63203463203463,80.62770562770562,4.87012987012987,10.497835497835498,4.004329004329004
Mutagenic,Binary (2 vs others),Crosslinking_agent,50,1086,913,84.19437316857226,7.487327020175407,84.06998158379373,77.80847145488029,4.23572744014733,11.694290976058932,6.261510128913444
Mutagenic,Binary (2 vs others),Filler,50,1619,1343,83.13968299745945,5.664642750134075,82.95243977764052,79.67881408276715,3.026559604694256,14.021000617665225,3.273625694873379
Mutagenic,Binary (2 vs others),Solvent,47,138,114,82.87234042553192,23.85721952848621,82.6086956521739,82.6086956521739,0.0,17.391304347826086,0.0
Mutagenic,Binary (2 vs others),Intermediate,50,1892,1559,82.42966360135011,5.060349847435301,82.39957716701903,78.276955602537,2.6955602536997887,14.904862579281184,4.12262156448203
Mutagenic,Binary (2 vs others),Lubricant,50,1421,1163,81.93654523721604,6.066023596671183,81.84377199155524,79.38071780436313,3.8705137227304713,14.285714285714286,2.4630541871921183
Mutagenic,Binary (2 vs others),Other_Processing_Aids,50,2995,2439,81.43018252403,3.8927590237622827,81.43572621035058,78.46410684474124,3.7395659432387314,14.824707846410684,2.971619365609349
Mutagenic,Binary (2 vs others),Catalyst,50,926,751,80.68965262971724,7.573221424182793,81.10151187904968,74.51403887688984,4.535637149028077,14.362850971922246,6.587473002159827
Mutagenic,Binary (2 vs others),Antistatic_agent,49,200,158,79.51409135082605,16.941816028599867,79.0,79.0,10.5,10.5,0.0
Mutagenic,Binary (2 vs others),Plasticizer,50,864,672,77.24667299579468,10.270748499285535,77.77777777777777,76.50462962962963,5.902777777777778,16.319444444444443,1.2731481481481481
Mutagenic,Binary (2 vs others),Viscosity_modifier,45,116,89,76.44444444444444,30.23602440330361,76.72413793103448,76.72413793103448,11.206896551724139,12.068965517241379,0.0
Mutagenic,Binary (2 vs others),Flame_retardant,50,321,211,67.104329004329,18.327565754998222,65.73208722741433,65.73208722741433,9.034267912772586,25.233644859813083,0.0
Mutagenic,Binary (2 vs others),Blowing_agent,46,112,65,59.166666666666664,35.62276633673305,58.035714285714285,58.035714285714285,14.285714285714286,27.678571428571427,0.0
Mutagenic,Binary (2 vs others),Unspecified_additive,15,15,8,53.333333333333336,51.63977794943223,53.333333333333336,53.333333333333336,0.0,46.666666666666664,0.0
Mutagenic,Original,Surfactant,16,16,16,100.0,0.0,100.0,,,,
Mutagenic,Original,NIAS,29,36,34,94.82758620689656,20.46262964094938,94.44444444444444,,,,
Mutagenic,Original,Impurity,24,26,24,93.75,22.421360157322034,92.3076923076923,,,,
Mutagenic,Original,Solvent,49,123,86,64.79591836734694,37.119415425242295,69.91869918699187,,,,
Mutagenic,Original,Odor_Agent,50,773,537,69.67403381343682,10.452211312215875,69.46959896507116,,,,
Mutagenic,Original,Biocide,50,1114,756,67.64665302123521,10.943072495188863,67.86355475763015,,,,
Mutagenic,Original,Monomer,50,764,512,66.85600092202259,11.464558026788218,67.01570680628272,,,,
Mutagenic,Original,Colorant,50,3367,2217,65.80524503258454,4.268391652490558,65.84496584496584,,,,
Mutagenic,Original,Filler,50,1655,1078,65.11103697348705,6.932184836682878,65.13595166163142,,,,
Mutagenic,Original,Viscosity_modifier,45,103,67,65.25925925925925,31.43245836444824,65.04854368932038,,,,
Mutagenic,Original,Light_stabilizer,50,941,610,64.41223375413428,9.513996490952694,64.82465462274176,,,,
Mutagenic,Original,Catalyst,50,904,581,63.98831271254881,9.607564493086436,64.26991150442478,,,,
Mutagenic,Original,Flame_retardant,50,316,203,62.81953601953602,21.275657776924334,64.24050632911393,,,,
Mutagenic,Original,Lubricant,50,1434,900,62.66430792332228,8.174648998251316,62.76150627615063,,,,
Mutagenic,Original,Intermediate,50,1919,1186,61.92542211406274,6.863084789177413,61.80302240750391,,,,
Mutagenic,Original,Blowing_agent,44,94,58,63.06818181818182,37.37155985536356,61.702127659574465,,,,
Mutagenic,Original,Initiator,50,480,295,60.160822510822506,16.617976887717653,61.458333333333336,,,,
Mutagenic,Original,Antistatic_agent,48,181,111,58.40277777777778,28.353821712529744,61.32596685082873,,,,
Mutagenic,Original,Antioxidant,50,814,494,60.14506715185474,12.636146023603455,60.68796068796069,,,,
Mutagenic,Original,Other_Processing_Aids,50,2998,1814,60.46159251140832,5.183947365662646,60.50700466977985,,,,
Mutagenic,Original,Heat_stabilizer,50,311,181,56.460028860028864,18.663256386528747,58.19935691318328,,,,
Mutagenic,Original,Crosslinking_agent,50,1096,627,56.88600594345552,9.388897363334227,57.20802919708029,,,,
Mutagenic,Original,Plasticizer,50,852,468,54.90758928333299,9.340426279327124,54.929577464788736,,,,
Mutagenic,Original,Unspecified_additive,20,23,12,52.5,47.22566206941663,52.17391304347826,,,,
Mutagenic,Original,Impact_modifier,8,8,3,37.5,51.75491695067657,37.5,,,,
Mutagenic,Original,Stabilizer,11,11,4,36.36363636363637,50.4524979109513,36.36363636363637,,,,
