scope,target,task,model,fold_index,roc_auc,auprc
Monomer==YES,Mutagenic,0.5_vs_0,LogisticRegression,1,0.2,0.43998316498316503
Monomer==YES,Mutagenic,0.5_vs_0,LogisticRegression,2,0.29999999999999993,0.5604858104858105
Monomer==YES,Mutagenic,0.5_vs_0,LogisticRegression,3,0.26666666666666666,0.46114718614718614
Monomer==YES,Mutagenic,0.5_vs_0,LogisticRegression,4,0.7857142857142857,0.8801587301587301
Monomer==YES,Mutagenic,0.5_vs_0,LogisticRegression,5,0.5,0.7375850340136054
Monomer==YES,Mutagenic,0.5_vs_0,LogisticRegression,6,0.43333333333333335,0.5327380952380952
Monomer==YES,Mutagenic,0.5_vs_0,LogisticRegression,7,0.23333333333333334,0.4492424242424242
Monomer==YES,Mutagenic,0.5_vs_0,LogisticRegression,8,0.36666666666666664,0.5194805194805194
Monomer==YES,Mutagenic,0.5_vs_0,LogisticRegression,9,0.46428571428571425,0.6239022881880024
Monomer==YES,Mutagenic,0.5_vs_0,LogisticRegression,10,0.25,0.5380179344465059
Monomer==YES,Mutagenic,0.5_vs_0,LogisticRegression,11,0.3333333333333333,0.5234487734487735
Monomer==YES,Mutagenic,0.5_vs_0,LogisticRegression,12,0.5,0.55995670995671
Monomer==YES,Mutagenic,0.5_vs_0,LogisticRegression,13,0.3666666666666667,0.4910714285714286
Monomer==YES,Mutagenic,0.5_vs_0,LogisticRegression,14,0.4285714285714286,0.5972789115646258
Monomer==YES,Mutagenic,0.5_vs_0,LogisticRegression,15,0.3214285714285714,0.6284941249226963
Monomer==YES,Mutagenic,0.5_vs_0,LogisticRegression,16,0.5,0.5953703703703704
Monomer==YES,Mutagenic,0.5_vs_0,LogisticRegression,17,0.3333333333333333,0.5715969215969217
Monomer==YES,Mutagenic,0.5_vs_0,LogisticRegression,18,0.5,0.560515873015873
Monomer==YES,Mutagenic,0.5_vs_0,LogisticRegression,19,0.3571428571428571,0.6726551226551227
Monomer==YES,Mutagenic,0.5_vs_0,LogisticRegression,20,0.25,0.6090496804782519
Monomer==YES,Mutagenic,0.5_vs_0,RandomForest,1,0.35,0.5715969215969217
Monomer==YES,Mutagenic,0.5_vs_0,RandomForest,2,0.6,0.6357142857142858
Monomer==YES,Mutagenic,0.5_vs_0,RandomForest,3,0.36666666666666664,0.5983164983164984
Monomer==YES,Mutagenic,0.5_vs_0,RandomForest,4,0.5178571428571428,0.6925170068027211
Monomer==YES,Mutagenic,0.5_vs_0,RandomForest,5,0.5178571428571428,0.6535714285714285
Monomer==YES,Mutagenic,0.5_vs_0,RandomForest,6,0.6333333333333333,0.6496031746031746
Monomer==YES,Mutagenic,0.5_vs_0,RandomForest,7,0.3833333333333333,0.5001683501683503
Monomer==YES,Mutagenic,0.5_vs_0,RandomForest,8,0.5333333333333333,0.6815175565175565
Monomer==YES,Mutagenic,0.5_vs_0,RandomForest,9,0.39285714285714285,0.594047619047619
Monomer==YES,Mutagenic,0.5_vs_0,RandomForest,10,0.08928571428571427,0.4814986600700887
Monomer==YES,Mutagenic,0.5_vs_0,RandomForest,11,0.3666666666666667,0.512536075036075
Monomer==YES,Mutagenic,0.5_vs_0,RandomForest,12,0.5666666666666667,0.6771825396825396
Monomer==YES,Mutagenic,0.5_vs_0,RandomForest,13,0.1333333333333333,0.416967291967292
Monomer==YES,Mutagenic,0.5_vs_0,RandomForest,14,0.6785714285714286,0.7798185941043083
Monomer==YES,Mutagenic,0.5_vs_0,RandomForest,15,0.5178571428571428,0.754004329004329
Monomer==YES,Mutagenic,0.5_vs_0,RandomForest,16,0.5333333333333333,0.6006313131313131
Monomer==YES,Mutagenic,0.5_vs_0,RandomForest,17,0.3333333333333333,0.4814814814814815
Monomer==YES,Mutagenic,0.5_vs_0,RandomForest,18,0.5833333333333334,0.6771825396825396
Monomer==YES,Mutagenic,0.5_vs_0,RandomForest,19,0.5714285714285714,0.6853741496598639
Monomer==YES,Mutagenic,0.5_vs_0,RandomForest,20,0.6964285714285714,0.7253968253968255
