Target,Run,Feature,MeanAbsSHAP_Monomer
Mutagenic,1,BalabanJ,0.009212731801497521
Mutagenic,1,BertzCT,0.008813971107398476
Mutagenic,1,Chi0,0.004247958557596525
Mutagenic,1,Chi0n,0.005326814820461226
Mutagenic,1,Chi0v,0.008168090595271323
Mutagenic,1,Chi1,0.005297727115078851
Mutagenic,1,Chi1n,0.006790082782006988
Mutagenic,1,Chi1v,0.00611689840814597
Mutagenic,1,Chi2n,0.0065138626283183934
Mutagenic,1,Chi2v,0.0068687463193994325
Mutagenic,1,Chi3n,0.0054550164553855375
Mutagenic,1,Chi3v,0.007269446972456032
Mutagenic,1,Chi4n,0.006556785610902589
Mutagenic,1,EState_VSA2,0.011833614006088268
Mutagenic,1,EState_VSA8,0.008893849832617404
Mutagenic,1,EState_VSA9,0.017853826956367388
Mutagenic,1,HallKierAlpha,0.009935179285993969
Mutagenic,1,HeavyAtomMolWt,0.006760473851787925
Mutagenic,1,Kappa1,0.015149271050916053
Mutagenic,1,Kappa2,0.01322058990398438
Mutagenic,1,Kappa3,0.010258061601732498
Mutagenic,1,MaxAbsEStateIndex,0.009432407331037264
Mutagenic,1,MaxAbsPartialCharge,0.012833210241965124
Mutagenic,1,MaxEStateIndex,0.01237451241700651
Mutagenic,1,MaxPartialCharge,0.009612458812865597
Mutagenic,1,MinAbsEStateIndex,0.008176387188068122
Mutagenic,1,MinAbsPartialCharge,0.009268375963035431
Mutagenic,1,MinEStateIndex,0.009075093034124114
Mutagenic,1,MinPartialCharge,0.011330927695262932
Mutagenic,1,MolLogP,0.007997459351730244
Mutagenic,1,MolMR,0.006797987073535475
Mutagenic,1,MolWt,0.004662840753527032
Mutagenic,1,NumHeteroatoms,0.007017320308831932
Mutagenic,1,NumValenceElectrons,0.005062933343947048
Mutagenic,1,PEOE_VSA14,0.014483348014771873
Mutagenic,1,PEOE_VSA6,0.010346292166063467
Mutagenic,1,SMR_VSA1,0.007226026309035945
Mutagenic,1,SMR_VSA10,0.03134142367175675
Mutagenic,1,SlogP_VSA2,0.010370271656520939
Mutagenic,1,SlogP_VSA3,0.02371083777928823
Mutagenic,1,SlogP_VSA5,0.004368909000748203
Mutagenic,1,TPSA,0.009802702765731872
Mutagenic,1,VSA_EState1,0.0031400815143116886
Mutagenic,1,VSA_EState10,0.0025542176048989136
Mutagenic,1,VSA_EState4,0.02331180691906019
Mutagenic,1,VSA_EState5,0.01217765157461734
Mutagenic,1,VSA_EState8,0.00773853900610892
Mutagenic,2,BalabanJ,0.019297338256189865
Mutagenic,2,BertzCT,0.008515571090271118
Mutagenic,2,Chi0,0.003160102659806843
Mutagenic,2,Chi0n,0.002916206172003606
Mutagenic,2,Chi0v,0.00889772057484383
Mutagenic,2,Chi1n,0.0038034892901129456
Mutagenic,2,Chi1v,0.005473138828658987
Mutagenic,2,Chi2n,0.008949894756621005
Mutagenic,2,Chi2v,0.00468106983148332
Mutagenic,2,Chi3n,0.010827701143360523
Mutagenic,2,Chi4n,0.006336649285778317
Mutagenic,2,Chi4v,0.004595916596585153
Mutagenic,2,EState_VSA5,0.002368063296009364
Mutagenic,2,EState_VSA8,0.007089704509386101
Mutagenic,2,EState_VSA9,0.02312216320980125
Mutagenic,2,HallKierAlpha,0.014908448749136036
Mutagenic,2,HeavyAtomMolWt,0.007391933643659498
Mutagenic,2,Kappa1,0.012759831813637558
Mutagenic,2,Kappa2,0.009398452118583018
Mutagenic,2,Kappa3,0.008681528972602435
Mutagenic,2,MaxAbsEStateIndex,0.010423815161378792
Mutagenic,2,MaxAbsPartialCharge,0.011626254085579685
Mutagenic,2,MaxEStateIndex,0.0131817211081167
Mutagenic,2,MaxPartialCharge,0.013528865073899828
Mutagenic,2,MinAbsEStateIndex,0.01624291541321705
Mutagenic,2,MinAbsPartialCharge,0.00789238512111489
Mutagenic,2,MinEStateIndex,0.011213300647149043
Mutagenic,2,MinPartialCharge,0.011345813927251494
Mutagenic,2,MolLogP,0.01000396034846847
Mutagenic,2,MolMR,0.015500666793403456
Mutagenic,2,MolWt,0.005919809816310435
Mutagenic,2,NumValenceElectrons,0.003881353455211939
Mutagenic,2,PEOE_VSA6,0.009158775330656585
Mutagenic,2,SMR_VSA1,0.007752895472131962
Mutagenic,2,SMR_VSA10,0.02838295554274201
Mutagenic,2,SlogP_VSA2,0.01316516254837494
Mutagenic,2,SlogP_VSA3,0.03385559886068001
Mutagenic,2,VSA_EState1,0.005044857795047501
Mutagenic,2,VSA_EState3,0.007378679438003783
Mutagenic,2,VSA_EState4,0.025653730582090615
Mutagenic,2,VSA_EState5,0.01705615728975172
Mutagenic,2,VSA_EState7,0.009159656354955295
Mutagenic,2,VSA_EState8,0.008454091799892666
Mutagenic,3,BalabanJ,0.010618525139994919
Mutagenic,3,BertzCT,0.01030498318581914
Mutagenic,3,Chi0,0.005631248915977157
Mutagenic,3,Chi0n,0.003694057887438671
Mutagenic,3,Chi0v,0.012527896024405892
Mutagenic,3,Chi1,0.004374033535390616
Mutagenic,3,Chi1n,0.006413656835091869
Mutagenic,3,Chi1v,0.0077756862309661095
Mutagenic,3,Chi2n,0.005755335325463749
Mutagenic,3,Chi2v,0.004302370494791059
Mutagenic,3,Chi3n,0.003957852882819224
Mutagenic,3,Chi3v,0.004453304610566358
Mutagenic,3,Chi4n,0.010195856352866357
Mutagenic,3,Chi4v,0.006009623990385885
Mutagenic,3,EState_VSA1,0.0033325361299070466
Mutagenic,3,EState_VSA9,0.020047245803501902
Mutagenic,3,HallKierAlpha,0.011302931002948982
Mutagenic,3,HeavyAtomMolWt,0.004331560681416359
Mutagenic,3,Kappa1,0.02142649863931437
Mutagenic,3,Kappa2,0.008857128482048489
